resolver_pair	secondary_resolver	variant_name	run_count	variance_status	mutator	cache-delta	triage	symcc	total_samples_mean	needs_review_count_mean	cluster_count_mean	oracle_audit_candidate_count_mean	semantic_diff_count_mean
bind9_vs_unbound	unbound	full_stack	2	ok	on	on	on	on	1.000000	1.000000	1.000000	1.000000	1.000000
bind9_vs_unbound	unbound	afl_only	2	ok	on	on	on	off	1.000000	1.000000	1.000000	1.000000	1.000000
bind9_vs_unbound	unbound	no_mutator	2	ok	off	on	on	on	1.000000	1.000000	1.000000	1.000000	1.000000
bind9_vs_unbound	unbound	no_cache_delta	2	ok	on	off	on	on	1.000000	1.000000	1.000000	1.000000	1.000000
bind9_vs_dnsmasq	dnsmasq	full_stack	2	ok	on	on	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_dnsmasq	dnsmasq	afl_only	2	ok	on	on	on	off	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_dnsmasq	dnsmasq	no_mutator	2	ok	off	on	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_dnsmasq	dnsmasq	no_cache_delta	2	ok	on	off	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_smartdns	smartdns	full_stack	2	ok	on	on	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_smartdns	smartdns	afl_only	2	ok	on	on	on	off	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_smartdns	smartdns	no_mutator	2	ok	off	on	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_smartdns	smartdns	no_cache_delta	2	ok	on	off	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_maradns	maradns	full_stack	2	ok	on	on	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_maradns	maradns	afl_only	2	ok	on	on	on	off	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_maradns	maradns	no_mutator	2	ok	off	on	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_maradns	maradns	no_cache_delta	2	ok	on	off	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_knot-resolver	knot-resolver	full_stack	2	ok	on	on	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_knot-resolver	knot-resolver	afl_only	2	ok	on	on	on	off	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_knot-resolver	knot-resolver	no_mutator	2	ok	off	on	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
bind9_vs_knot-resolver	knot-resolver	no_cache_delta	2	ok	on	off	on	on	1.000000	1.000000	1.000000	0.000000	0.000000
